FirstName,LastName,BillingCountry,BillingCity,billingState,Sale_FirstName,Sale_LastName,salesMade,ArtistName,AlbumName,GenreName,trackSales,invoiceSales
Jack,Smith,USA,Redmond,WA,Steve,Johnson,720.1600000000011,Titãs,Acústico,Alternative & Punk,2.9699999999999998,10.91
Jack,Smith,USA,Redmond,WA,Steve,Johnson,720.1600000000011,Titãs,Volume Dois,Alternative & Punk,2.9699999999999998,10.91
Jennifer,Peterson,Canada,Vancouver,BC,Jane,Peacock,833.0400000000016,House Of Pain,House of Pain,Hip Hop/Rap,2.9699999999999998,9.91
Jennifer,Peterson,Canada,Vancouver,BC,Jane,Peacock,833.0400000000016,O Rappa,Radio Brasil (O Som da Jovem Vanguarda) - Seleccao de Henrique Amaro,Electronica/Dance,2.9699999999999998,9.91
Johannes,Van der Berg,Netherlands,Amsterdam,VV,Steve,Johnson,720.1600000000011,U2,Instant Karma: The Amnesty International Campaign to Save Darfur,Pop,2.9699999999999998,8.94
Edward,Francis,Canada,Ottawa,ON,Jane,Peacock,833.0400000000016,Green Day,International Superhits,Alternative & Punk,2.9699999999999998,8.91
Emma,Jones,United Kingdom,London,State is Unknown,Jane,Peacock,833.0400000000016,Cidade Negra,Acústico MTV [Live],Reggae,2.9699999999999998,8.91
Frank,Ralston,USA,Chicago,IL,Jane,Peacock,833.0400000000016,Legião Urbana,A TempestadeTempestade Ou O Livro Dos Dias,Latin,2.9699999999999998,8.91
Hugh,O'Reilly,Ireland,Dublin,Dublin,Jane,Peacock,833.0400000000016,Guns N' Roses,Use Your Illusion II,Metal,2.9699999999999998,8.91
Ladislav,Kovács,Hungary,Budapest,State is Unknown,Jane,Peacock,833.0400000000016,James Brown,Sex Machine,R&B/Soul,2.9699999999999998,8.91
Luís,Gonçalves,Brazil,São José dos Campos,SP,Jane,Peacock,833.0400000000016,Os Paralamas Do Sucesso,Arquivo Os Paralamas Do Sucesso,Latin,2.9699999999999998,8.91
Manoj,Pareek,India,Delhi,State is Unknown,Jane,Peacock,833.0400000000016,The Clash,The Singles,Alternative & Punk,2.9699999999999998,8.91
Phil,Hughes,United Kingdom,London,State is Unknown,Jane,Peacock,833.0400000000016,Aerosmith,Big Ones,Rock,2.9699999999999998,8.91
Robert,Brown,Canada,Toronto,ON,Jane,Peacock,833.0400000000016,Creedence Clearwater Revival,"Chronicle, Vol. 2",Rock,2.9699999999999998,8.91
Robert,Brown,Canada,Toronto,ON,Jane,Peacock,833.0400000000016,Cássia Eller,Cássia Eller - Coleção Sem Limite [Disc 2],Latin,2.9699999999999998,8.91
Roberto,Almeida,Brazil,Rio de Janeiro,RJ,Jane,Peacock,833.0400000000016,Chico Buarque,Minha Historia,Latin,2.9699999999999998,8.91
Terhi,Hämäläinen,Finland,Helsinki,State is Unknown,Jane,Peacock,833.0400000000016,Legião Urbana,A TempestadeTempestade Ou O Livro Dos Dias,Latin,2.9699999999999998,8.91
Terhi,Hämäläinen,Finland,Helsinki,State is Unknown,Jane,Peacock,833.0400000000016,Lenny Kravitz,Greatest Hits,Rock,2.9699999999999998,8.91
Tim,Goyer,USA,Cupertino,CA,Jane,Peacock,833.0400000000016,The Clash,The Singles,Alternative & Punk,2.9699999999999998,8.91
Tim,Goyer,USA,Cupertino,CA,Jane,Peacock,833.0400000000016,The Cult,"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]",Rock,2.9699999999999998,8.91
Aaron,Mitchell,Canada,Winnipeg,MB,Margaret,Park,775.4000000000005,Chico Science & Nação Zumbi,Afrociberdelia,Latin,2.9699999999999998,8.91
Aaron,Mitchell,Canada,Winnipeg,MB,Margaret,Park,775.4000000000005,Chico Science & Nação Zumbi,Da Lama Ao Caos,Latin,2.9699999999999998,8.91
Daan,Peeters,Belgium,Brussels,State is Unknown,Margaret,Park,775.4000000000005,Faith No More,Angel Dust,Alternative & Punk,2.9699999999999998,8.91
Dan,Miller,USA,Mountain View,CA,Margaret,Park,775.4000000000005,Raul Seixas,Raul Seixas,Rock,2.9699999999999998,8.91
Dan,Miller,USA,Mountain View,CA,Margaret,Park,775.4000000000005,Red Hot Chili Peppers,By The Way,Rock,2.9699999999999998,8.91
Dominique,Lefebvre,France,Paris,State is Unknown,Margaret,Park,775.4000000000005,Red Hot Chili Peppers,Blood Sugar Sex Magik,Alternative & Punk,2.9699999999999998,8.91
Dominique,Lefebvre,France,Paris,State is Unknown,Margaret,Park,775.4000000000005,Red Hot Chili Peppers,Californication,Rock,2.9699999999999998,8.91
Frank,Harris,USA,Mountain View,CA,Margaret,Park,775.4000000000005,Van Halen,"The Best Of Van Halen, Vol. I",Rock,2.9699999999999998,8.91
John,Gordon,USA,Boston,MA,Margaret,Park,775.4000000000005,Milton Nascimento,Milton Nascimento Ao Vivo,Latin,2.9699999999999998,8.91
Kara,Nielsen,Denmark,Copenhagen,State is Unknown,Margaret,Park,775.4000000000005,Creedence Clearwater Revival,"Chronicle, Vol. 2",Rock,2.9699999999999998,8.91
Madalena,Sampaio,Portugal,Porto,State is Unknown,Margaret,Park,775.4000000000005,U2,Rattle And Hum,Rock,2.9699999999999998,8.91
Richard,Cunningham,USA,Fort Worth,TX,Margaret,Park,775.4000000000005,Green Day,American Idiot,Alternative & Punk,2.9699999999999998,8.91
Stanisław,Wójcik,Poland,Warsaw,State is Unknown,Margaret,Park,775.4000000000005,Cássia Eller,Cássia Eller - Coleção Sem Limite [Disc 2],Latin,2.9699999999999998,8.91
Alexandre,Rocha,Brazil,São Paulo,SP,Steve,Johnson,720.1600000000011,Gonzaguinha,Meus Momentos,Latin,2.9699999999999998,8.91
Enrique,Muñoz,Spain,Madrid,State is Unknown,Steve,Johnson,720.1600000000011,Green Day,International Superhits,Alternative & Punk,2.9699999999999998,8.91
Hannah,Schneider,Germany,Berlin,State is Unknown,Steve,Johnson,720.1600000000011,Van Halen,"The Best Of Van Halen, Vol. I",Rock,2.9699999999999998,8.91
Joakim,Johansson,Sweden,Stockholm,State is Unknown,Steve,Johnson,720.1600000000011,Caetano Veloso,Prenda Minha,Latin,2.9699999999999998,8.91
Joakim,Johansson,Sweden,Stockholm,State is Unknown,Steve,Johnson,720.1600000000011,Chico Buarque,Minha Historia,Latin,2.9699999999999998,8.91
Johannes,Van der Berg,Netherlands,Amsterdam,VV,Steve,Johnson,720.1600000000011,Falamansa,Deixa Entrar,Latin,2.9699999999999998,8.91
Marc,Dubois,France,Lyon,State is Unknown,Steve,Johnson,720.1600000000011,Passengers,Original Soundtracks 1,Soundtrack,2.9699999999999998,8.91
Martha,Silk,Canada,Halifax,NS,Steve,Johnson,720.1600000000011,Os Mutantes,Minha História,Alternative & Punk,2.9699999999999998,8.91
Steve,Murray,United Kingdom,Edinburgh ,State is Unknown,Steve,Johnson,720.1600000000011,House Of Pain,House of Pain,Hip Hop/Rap,2.9699999999999998,8.91
Victor,Stevens,USA,Madison,WI,Steve,Johnson,720.1600000000011,James Brown,Sex Machine,R&B/Soul,2.9699999999999998,8.91
Edward,Francis,Canada,Ottawa,ON,Jane,Peacock,833.0400000000016,UB40,UB40 The Best Of - Volume Two [UK],Reggae,2.9699999999999998,5.94
Ellie,Sullivan,Canada,Yellowknife,NT,Jane,Peacock,833.0400000000016,Queen,News Of The World,Rock,2.9699999999999998,5.94
Emma,Jones,United Kingdom,London,State is Unknown,Jane,Peacock,833.0400000000016,Stone Temple Pilots,Core,Rock,2.9699999999999998,5.94
Jennifer,Peterson,Canada,Vancouver,BC,Jane,Peacock,833.0400000000016,Os Paralamas Do Sucesso,Arquivo II,Latin,2.9699999999999998,5.94
Ladislav,Kovács,Hungary,Budapest,State is Unknown,Jane,Peacock,833.0400000000016,Bruce Dickinson,Chemical Wedding,Metal,2.9699999999999998,5.94
Phil,Hughes,United Kingdom,London,State is Unknown,Jane,Peacock,833.0400000000016,R.E.M.,New Adventures In Hi-Fi,Rock,2.9699999999999998,5.94
Robert,Brown,Canada,Toronto,ON,Jane,Peacock,833.0400000000016,U2,Pop,Rock,2.9699999999999998,5.94
Tim,Goyer,USA,Cupertino,CA,Jane,Peacock,833.0400000000016,Iron Maiden,Rock In Rio [CD2],Rock,2.9699999999999998,5.94
Wyatt,Girard,France,Bordeaux,State is Unknown,Jane,Peacock,833.0400000000016,Faith No More,King For A Day Fool For A Lifetime,Rock,2.9699999999999998,5.94
Camille,Bernard,France,Paris,State is Unknown,Margaret,Park,775.4000000000005,Iron Maiden,The X Factor,Rock,2.9699999999999998,5.94
Diego,Gutiérrez,Argentina,Buenos Aires,State is Unknown,Margaret,Park,775.4000000000005,Metallica,ReLoad,Metal,2.9699999999999998,5.94
Dominique,Lefebvre,France,Paris,State is Unknown,Margaret,Park,775.4000000000005,Green Day,American Idiot,Alternative & Punk,2.9699999999999998,5.94
Eduardo,Martins,Brazil,São Paulo,SP,Margaret,Park,775.4000000000005,U2,The Best Of 1980-1990,Rock,2.9699999999999998,5.94
Fernanda,Ramos,Brazil,Brasília,DF,Margaret,Park,775.4000000000005,The Black Crowes,Live [Disc 1],Blues,2.9699999999999998,5.94
Frank,Harris,USA,Mountain View,CA,Margaret,Park,775.4000000000005,Metallica,Black Album,Metal,2.9699999999999998,5.94
Frank,Harris,USA,Mountain View,CA,Margaret,Park,775.4000000000005,Metallica,Garage Inc. (Disc 2),Metal,2.9699999999999998,5.94
František,Wichterlová,Czech Republic,Prague,State is Unknown,Margaret,Park,775.4000000000005,Green Day,International Superhits,Alternative & Punk,2.9699999999999998,5.94
František,Wichterlová,Czech Republic,Prague,State is Unknown,Margaret,Park,775.4000000000005,Spyro Gyra,Heart of the Night,Jazz,2.9699999999999998,5.94
Heather,Leacock,USA,Orlando,FL,Margaret,Park,775.4000000000005,Faith No More,Album Of The Year,Alternative & Punk,2.9699999999999998,5.94
John,Gordon,USA,Boston,MA,Margaret,Park,775.4000000000005,Creedence Clearwater Revival,"Chronicle, Vol. 1",Rock,2.9699999999999998,5.94
John,Gordon,USA,Boston,MA,Margaret,Park,775.4000000000005,Various Artists,Vozes do MPB,Latin,2.9699999999999998,5.94
Kara,Nielsen,Denmark,Copenhagen,State is Unknown,Margaret,Park,775.4000000000005,Ozzy Osbourne,Speak of the Devil,Rock,2.9699999999999998,5.94
Kara,Nielsen,Denmark,Copenhagen,State is Unknown,Margaret,Park,775.4000000000005,U2,Instant Karma: The Amnesty International Campaign to Save Darfur,Pop,2.9699999999999998,5.94
Madalena,Sampaio,Portugal,Porto,State is Unknown,Margaret,Park,775.4000000000005,Os Paralamas Do Sucesso,Arquivo Os Paralamas Do Sucesso,Latin,2.9699999999999998,5.94
Mark,Taylor,Australia,Sidney,NSW,Margaret,Park,775.4000000000005,Ozzy Osbourne,Tribute,Metal,2.9699999999999998,5.94
Mark,Taylor,Australia,Sidney,NSW,Margaret,Park,775.4000000000005,Page & Plant,Walking Into Clarksdale,Rock,2.9699999999999998,5.94
Alexandre,Rocha,Brazil,São Paulo,SP,Steve,Johnson,720.1600000000011,Tim Maia,Serie Sem Limite (Disc 1),Latin,2.9699999999999998,5.94
Alexandre,Rocha,Brazil,São Paulo,SP,Steve,Johnson,720.1600000000011,Tim Maia,Serie Sem Limite (Disc 2),Latin,2.9699999999999998,5.94
Astrid,Gruber,Austria,Vienne,State is Unknown,Steve,Johnson,720.1600000000011,Amy Winehouse,Back to Black,R&B/Soul,2.9699999999999998,5.94
Hannah,Schneider,Germany,Berlin,State is Unknown,Steve,Johnson,720.1600000000011,Metallica,Kill 'Em All,Metal,2.9699999999999998,5.94
Jack,Smith,USA,Redmond,WA,Steve,Johnson,720.1600000000011,Metallica,St. Anger,Metal,2.9699999999999998,5.94
Kathy,Chase,USA,Reno,NV,Steve,Johnson,720.1600000000011,Guns N' Roses,Use Your Illusion II,Metal,2.9699999999999998,5.94
Kathy,Chase,USA,Reno,NV,Steve,Johnson,720.1600000000011,Incognito,Blue Moods,Jazz,2.9699999999999998,5.94
Leonie,Köhler,Germany,Stuttgart,State is Unknown,Steve,Johnson,720.1600000000011,Eric Clapton,The Cream Of Clapton,Blues,2.9699999999999998,5.94
Leonie,Köhler,Germany,Stuttgart,State is Unknown,Steve,Johnson,720.1600000000011,Eric Clapton,Unplugged,Blues,2.9699999999999998,5.94
Lucas,Mancini,Italy,Rome,RM,Steve,Johnson,720.1600000000011,AC/DC,For Those About To Rock We Salute You,Rock,2.9699999999999998,5.94
Marc,Dubois,France,Lyon,State is Unknown,Steve,Johnson,720.1600000000011,Elis Regina,Elis Regina-Minha História,Latin,2.9699999999999998,5.94
Steve,Murray,United Kingdom,Edinburgh ,State is Unknown,Steve,Johnson,720.1600000000011,Olodum,Olodum,Latin,2.9699999999999998,5.94
Steve,Murray,United Kingdom,Edinburgh ,State is Unknown,Steve,Johnson,720.1600000000011,Os Paralamas Do Sucesso,Acústico MTV,Latin,2.9699999999999998,5.94
Victor,Stevens,USA,Madison,WI,Steve,Johnson,720.1600000000011,David Coverdale,Into The Light,Rock,2.9699999999999998,5.94
Victor,Stevens,USA,Madison,WI,Steve,Johnson,720.1600000000011,Green Day,International Superhits,Alternative & Punk,2.9699999999999998,5.94
Ellie,Sullivan,Canada,Yellowknife,NT,Jane,Peacock,833.0400000000016,Kiss,Unplugged [Live],Rock,2.9699999999999998,3.96
Niklas,Schröder,Germany,Berlin,State is Unknown,Jane,Peacock,833.0400000000016,Faith No More,Angel Dust,Alternative & Punk,2.9699999999999998,3.96
Tim,Goyer,USA,Cupertino,CA,Jane,Peacock,833.0400000000016,Toquinho & Vinícius,Vinícius De Moraes - Sem Limite,Bossa Nova,2.9699999999999998,3.96
Frank,Harris,USA,Mountain View,CA,Margaret,Park,775.4000000000005,Gilberto Gil,Quanta Gente Veio Ver (Live),Latin,2.9699999999999998,3.96
João,Fernandes,Portugal,Lisbon,State is Unknown,Margaret,Park,775.4000000000005,Led Zeppelin,Led Zeppelin II,Rock,2.9699999999999998,3.96
Richard,Cunningham,USA,Fort Worth,TX,Margaret,Park,775.4000000000005,U2,War,Rock,2.9699999999999998,3.96
