FirstName,LastName,BillingCountry,BillingCity,billingState,Sale_FirstName,Sale_LastName,salesMade,ArtistName,AlbumName,GenreName,trackSales,invoiceSales,monthBucket
Astrid,Gruber,Austria,Vienne,State is Unknown,Steve,Johnson,720,The Who,My Generation - The Very Best Of The Who,Rock,3.96,15.84,July
Lucas,Mancini,Italy,Rome,RM,Steve,Johnson,720,Titãs,Acústico,Alternative & Punk,3.96,15.84,January
Victor,Stevens,USA,Madison,WI,Steve,Johnson,720,U2,B-Sides 1980-1990,Rock,3.96,15.84,December
Alexandre,Rocha,Brazil,São Paulo,SP,Steve,Johnson,720,Os Paralamas Do Sucesso,Acústico MTV,Latin,3.96,15.84,April
Victor,Stevens,USA,Madison,WI,Steve,Johnson,720,Zeca Pagodinho,Ao Vivo [IMPORT],Latin,2.97,56.58,May
Fynn,Zimmermann,Germany,Frankfurt,State is Unknown,Jane,Peacock,833,Titãs,Volume Dois,Alternative & Punk,2.97,44.73,April
Aaron,Mitchell,Canada,Winnipeg,MB,Margaret,Park,775,Os Paralamas Do Sucesso,Acústico MTV,Latin,2.97,41.58,September
Dominique,Lefebvre,France,Paris,State is Unknown,Margaret,Park,775,Gene Krupa,Up An' Atom,Jazz,2.97,41.58,March
Fernanda,Ramos,Brazil,Brasília,DF,Margaret,Park,775,Lulu Santos,Lulu Santos - RCA 100 Anos De Música - Álbum 01,Latin,2.97,41.58,March
Luis,Rojas,Chile,Santiago,State is Unknown,Steve,Johnson,720,Frank Sinatra,My Way: The Best Of Frank Sinatra [Disc 1],Easy Listening,2.97,41.58,May
Jack,Smith,USA,Redmond,WA,Steve,Johnson,720,Frank Sinatra,My Way: The Best Of Frank Sinatra [Disc 1],Easy Listening,2.97,41.58,December
Julia,Barnett,USA,Salt Lake City,UT,Steve,Johnson,720,The Who,My Generation - The Very Best Of The Who,Rock,2.97,41.58,December
Jack,Smith,USA,Redmond,WA,Steve,Johnson,720,Titãs,Acústico,Alternative & Punk,2.97,32.73,July
Jack,Smith,USA,Redmond,WA,Steve,Johnson,720,Titãs,Volume Dois,Alternative & Punk,2.97,32.73,July
Jennifer,Peterson,Canada,Vancouver,BC,Jane,Peacock,833,House Of Pain,House of Pain,Hip Hop/Rap,2.97,29.73,March
Jennifer,Peterson,Canada,Vancouver,BC,Jane,Peacock,833,O Rappa,Radio Brasil (O Som da Jovem Vanguarda) - Seleccao de Henrique Amaro,Electronica/Dance,2.97,29.73,March
Johannes,Van der Berg,Netherlands,Amsterdam,VV,Steve,Johnson,720,U2,Instant Karma: The Amnesty International Campaign to Save Darfur,Pop,2.97,26.82,June
Ladislav,Kovács,Hungary,Budapest,State is Unknown,Jane,Peacock,833,James Brown,Sex Machine,R&B/Soul,2.97,26.73,October
Robert,Brown,Canada,Toronto,ON,Jane,Peacock,833,Creedence Clearwater Revival,"Chronicle, Vol. 2",Rock,2.97,26.73,October
Robert,Brown,Canada,Toronto,ON,Jane,Peacock,833,Cássia Eller,Cássia Eller - Coleção Sem Limite [Disc 2],Latin,2.97,26.73,October
Frank,Ralston,USA,Chicago,IL,Jane,Peacock,833,Legião Urbana,A TempestadeTempestade Ou O Livro Dos Dias,Latin,2.97,26.73,November
Manoj,Pareek,India,Delhi,State is Unknown,Jane,Peacock,833,The Clash,The Singles,Alternative & Punk,2.97,26.73,March
Edward,Francis,Canada,Ottawa,ON,Jane,Peacock,833,Green Day,International Superhits,Alternative & Punk,2.97,26.73,January
Emma,Jones,United Kingdom,London,State is Unknown,Jane,Peacock,833,Cidade Negra,Acústico MTV [Live],Reggae,2.97,26.73,Febuary
Hugh,O'Reilly,Ireland,Dublin,Dublin,Jane,Peacock,833,Guns N' Roses,Use Your Illusion II,Metal,2.97,26.73,December
Tim,Goyer,USA,Cupertino,CA,Jane,Peacock,833,The Clash,The Singles,Alternative & Punk,2.97,26.73,December
Tim,Goyer,USA,Cupertino,CA,Jane,Peacock,833,The Cult,"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]",Rock,2.97,26.73,December
Luís,Gonçalves,Brazil,São José dos Campos,SP,Jane,Peacock,833,Os Paralamas Do Sucesso,Arquivo Os Paralamas Do Sucesso,Latin,2.97,26.73,August
Roberto,Almeida,Brazil,Rio de Janeiro,RJ,Jane,Peacock,833,Chico Buarque,Minha Historia,Latin,2.97,26.73,August
Terhi,Hämäläinen,Finland,Helsinki,State is Unknown,Jane,Peacock,833,Legião Urbana,A TempestadeTempestade Ou O Livro Dos Dias,Latin,2.97,26.73,August
Terhi,Hämäläinen,Finland,Helsinki,State is Unknown,Jane,Peacock,833,Lenny Kravitz,Greatest Hits,Rock,2.97,26.73,August
Phil,Hughes,United Kingdom,London,State is Unknown,Jane,Peacock,833,Aerosmith,Big Ones,Rock,2.97,26.73,April
John,Gordon,USA,Boston,MA,Margaret,Park,775,Milton Nascimento,Milton Nascimento Ao Vivo,Latin,2.97,26.73,September
Daan,Peeters,Belgium,Brussels,State is Unknown,Margaret,Park,775,Faith No More,Angel Dust,Alternative & Punk,2.97,26.73,November
Dominique,Lefebvre,France,Paris,State is Unknown,Margaret,Park,775,Red Hot Chili Peppers,Blood Sugar Sex Magik,Alternative & Punk,2.97,26.73,November
Dominique,Lefebvre,France,Paris,State is Unknown,Margaret,Park,775,Red Hot Chili Peppers,Californication,Rock,2.97,26.73,November
Aaron,Mitchell,Canada,Winnipeg,MB,Margaret,Park,775,Chico Science & Nação Zumbi,Afrociberdelia,Latin,2.97,26.73,May
Aaron,Mitchell,Canada,Winnipeg,MB,Margaret,Park,775,Chico Science & Nação Zumbi,Da Lama Ao Caos,Latin,2.97,26.73,May
Frank,Harris,USA,Mountain View,CA,Margaret,Park,775,Van Halen,"The Best Of Van Halen, Vol. I",Rock,2.97,26.73,May
Stanisław,Wójcik,Poland,Warsaw,State is Unknown,Margaret,Park,775,Cássia Eller,Cássia Eller - Coleção Sem Limite [Disc 2],Latin,2.97,26.73,July
Dan,Miller,USA,Mountain View,CA,Margaret,Park,775,Raul Seixas,Raul Seixas,Rock,2.97,26.73,Febuary
Dan,Miller,USA,Mountain View,CA,Margaret,Park,775,Red Hot Chili Peppers,By The Way,Rock,2.97,26.73,Febuary
Kara,Nielsen,Denmark,Copenhagen,State is Unknown,Margaret,Park,775,Creedence Clearwater Revival,"Chronicle, Vol. 2",Rock,2.97,26.73,Febuary
Madalena,Sampaio,Portugal,Porto,State is Unknown,Margaret,Park,775,U2,Rattle And Hum,Rock,2.97,26.73,December
Richard,Cunningham,USA,Fort Worth,TX,Margaret,Park,775,Green Day,American Idiot,Alternative & Punk,2.97,26.73,April
Enrique,Muñoz,Spain,Madrid,State is Unknown,Steve,Johnson,720,Green Day,International Superhits,Alternative & Punk,2.97,26.73,September
Johannes,Van der Berg,Netherlands,Amsterdam,VV,Steve,Johnson,720,Falamansa,Deixa Entrar,Latin,2.97,26.73,May
Martha,Silk,Canada,Halifax,NS,Steve,Johnson,720,Os Mutantes,Minha História,Alternative & Punk,2.97,26.73,March
Alexandre,Rocha,Brazil,São Paulo,SP,Steve,Johnson,720,Gonzaguinha,Meus Momentos,Latin,2.97,26.73,June
Steve,Murray,United Kingdom,Edinburgh,State is Unknown,Steve,Johnson,720,House Of Pain,House of Pain,Hip Hop/Rap,2.97,26.73,June
Marc,Dubois,France,Lyon,State is Unknown,Steve,Johnson,720,Passengers,Original Soundtracks 1,Soundtrack,2.97,26.73,January
Victor,Stevens,USA,Madison,WI,Steve,Johnson,720,James Brown,Sex Machine,R&B/Soul,2.97,26.73,January
Hannah,Schneider,Germany,Berlin,State is Unknown,Steve,Johnson,720,Van Halen,"The Best Of Van Halen, Vol. I",Rock,2.97,26.73,Febuary
Joakim,Johansson,Sweden,Stockholm,State is Unknown,Steve,Johnson,720,Caetano Veloso,Prenda Minha,Latin,2.97,26.73,December
Joakim,Johansson,Sweden,Stockholm,State is Unknown,Steve,Johnson,720,Chico Buarque,Minha Historia,Latin,2.97,26.73,December
Ellie,Sullivan,Canada,Yellowknife,NT,Jane,Peacock,833,Queen,News Of The World,Rock,2.97,17.82,September
Ladislav,Kovács,Hungary,Budapest,State is Unknown,Jane,Peacock,833,Bruce Dickinson,Chemical Wedding,Metal,2.97,17.82,November
Phil,Hughes,United Kingdom,London,State is Unknown,Jane,Peacock,833,R.E.M.,New Adventures In Hi-Fi,Rock,2.97,17.82,May
Wyatt,Girard,France,Bordeaux,State is Unknown,Jane,Peacock,833,Faith No More,King For A Day Fool For A Lifetime,Rock,2.97,17.82,May
Emma,Jones,United Kingdom,London,State is Unknown,Jane,Peacock,833,Stone Temple Pilots,Core,Rock,2.97,17.82,March
Tim,Goyer,USA,Cupertino,CA,Jane,Peacock,833,Iron Maiden,Rock In Rio [CD2],Rock,2.97,17.82,January
Edward,Francis,Canada,Ottawa,ON,Jane,Peacock,833,UB40,UB40 The Best Of - Volume Two [UK],Reggae,2.97,17.82,Febuary
Robert,Brown,Canada,Toronto,ON,Jane,Peacock,833,U2,Pop,Rock,2.97,17.82,December
Jennifer,Peterson,Canada,Vancouver,BC,Jane,Peacock,833,Os Paralamas Do Sucesso,Arquivo II,Latin,2.97,17.82,April
Camille,Bernard,France,Paris,State is Unknown,Margaret,Park,775,Iron Maiden,The X Factor,Rock,2.97,17.82,October
John,Gordon,USA,Boston,MA,Margaret,Park,775,Creedence Clearwater Revival,"Chronicle, Vol. 1",Rock,2.97,17.82,October
John,Gordon,USA,Boston,MA,Margaret,Park,775,Various Artists,Vozes do MPB,Latin,2.97,17.82,October
Mark,Taylor,Australia,Sidney,NSW,Margaret,Park,775,Ozzy Osbourne,Tribute,Metal,2.97,17.82,October
Mark,Taylor,Australia,Sidney,NSW,Margaret,Park,775,Page & Plant,Walking Into Clarksdale,Rock,2.97,17.82,October
Eduardo,Martins,Brazil,São Paulo,SP,Margaret,Park,775,U2,The Best Of 1980-1990,Rock,2.97,17.82,May
Kara,Nielsen,Denmark,Copenhagen,State is Unknown,Margaret,Park,775,Ozzy Osbourne,Speak of the Devil,Rock,2.97,17.82,March
Kara,Nielsen,Denmark,Copenhagen,State is Unknown,Margaret,Park,775,U2,Instant Karma: The Amnesty International Campaign to Save Darfur,Pop,2.97,17.82,March
František,Wichterlová,Czech Republic,Prague,State is Unknown,Margaret,Park,775,Green Day,International Superhits,Alternative & Punk,2.97,17.82,June
František,Wichterlová,Czech Republic,Prague,State is Unknown,Margaret,Park,775,Spyro Gyra,Heart of the Night,Jazz,2.97,17.82,June
Frank,Harris,USA,Mountain View,CA,Margaret,Park,775,Metallica,Black Album,Metal,2.97,17.82,July
Frank,Harris,USA,Mountain View,CA,Margaret,Park,775,Metallica,Garage Inc. (Disc 2),Metal,2.97,17.82,July
Madalena,Sampaio,Portugal,Porto,State is Unknown,Margaret,Park,775,Os Paralamas Do Sucesso,Arquivo Os Paralamas Do Sucesso,Latin,2.97,17.82,January
Diego,Gutiérrez,Argentina,Buenos Aires,State is Unknown,Margaret,Park,775,Metallica,ReLoad,Metal,2.97,17.82,December
Dominique,Lefebvre,France,Paris,State is Unknown,Margaret,Park,775,Green Day,American Idiot,Alternative & Punk,2.97,17.82,December
Fernanda,Ramos,Brazil,Brasília,DF,Margaret,Park,775,The Black Crowes,Live [Disc 1],Blues,2.97,17.82,December
Heather,Leacock,USA,Orlando,FL,Margaret,Park,775,Faith No More,Album Of The Year,Alternative & Punk,2.97,17.82,August
Jack,Smith,USA,Redmond,WA,Steve,Johnson,720,Metallica,St. Anger,Metal,2.97,17.82,September
Astrid,Gruber,Austria,Vienne,State is Unknown,Steve,Johnson,720,Amy Winehouse,Back to Black,R&B/Soul,2.97,17.82,October
Leonie,Köhler,Germany,Stuttgart,State is Unknown,Steve,Johnson,720,Eric Clapton,The Cream Of Clapton,Blues,2.97,17.82,November
Leonie,Köhler,Germany,Stuttgart,State is Unknown,Steve,Johnson,720,Eric Clapton,Unplugged,Blues,2.97,17.82,November
Hannah,Schneider,Germany,Berlin,State is Unknown,Steve,Johnson,720,Metallica,Kill 'Em All,Metal,2.97,17.82,March
Marc,Dubois,France,Lyon,State is Unknown,Steve,Johnson,720,Elis Regina,Elis Regina-Minha História,Latin,2.97,17.82,March
Victor,Stevens,USA,Madison,WI,Steve,Johnson,720,David Coverdale,Into The Light,Rock,2.97,17.82,March
Victor,Stevens,USA,Madison,WI,Steve,Johnson,720,Green Day,International Superhits,Alternative & Punk,2.97,17.82,March
Kathy,Chase,USA,Reno,NV,Steve,Johnson,720,Guns N' Roses,Use Your Illusion II,Metal,2.97,17.82,June
Kathy,Chase,USA,Reno,NV,Steve,Johnson,720,Incognito,Blue Moods,Jazz,2.97,17.82,June
Alexandre,Rocha,Brazil,São Paulo,SP,Steve,Johnson,720,Tim Maia,Serie Sem Limite (Disc 1),Latin,2.97,17.82,July
Alexandre,Rocha,Brazil,São Paulo,SP,Steve,Johnson,720,Tim Maia,Serie Sem Limite (Disc 2),Latin,2.97,17.82,July
Steve,Murray,United Kingdom,Edinburgh,State is Unknown,Steve,Johnson,720,Olodum,Olodum,Latin,2.97,17.82,August
Steve,Murray,United Kingdom,Edinburgh,State is Unknown,Steve,Johnson,720,Os Paralamas Do Sucesso,Acústico MTV,Latin,2.97,17.82,August
Lucas,Mancini,Italy,Rome,RM,Steve,Johnson,720,AC/DC,For Those About To Rock We Salute You,Rock,2.97,17.82,April
Tim,Goyer,USA,Cupertino,CA,Jane,Peacock,833,Toquinho & Vinícius,Vinícius De Moraes - Sem Limite,Bossa Nova,2.97,11.88,October
Niklas,Schröder,Germany,Berlin,State is Unknown,Jane,Peacock,833,Faith No More,Angel Dust,Alternative & Punk,2.97,11.88,May
Ellie,Sullivan,Canada,Yellowknife,NT,Jane,Peacock,833,Kiss,Unplugged [Live],Rock,2.97,11.88,June
Richard,Cunningham,USA,Fort Worth,TX,Margaret,Park,775,U2,War,Rock,2.97,11.88,Febuary
João,Fernandes,Portugal,Lisbon,State is Unknown,Margaret,Park,775,Led Zeppelin,Led Zeppelin II,Rock,2.97,11.88,August
Frank,Harris,USA,Mountain View,CA,Margaret,Park,775,Gilberto Gil,Quanta Gente Veio Ver (Live),Latin,2.97,11.88,April
Helena,Holý,Czech Republic,Prague,State is Unknown,Steve,Johnson,720,U2,Rattle And Hum,Rock,2.97,11.88,May
Steve,Murray,United Kingdom,Edinburgh,State is Unknown,Steve,Johnson,720,Iron Maiden,No Prayer For The Dying,Metal,2.97,11.88,May
Martha,Silk,Canada,Halifax,NS,Steve,Johnson,720,Os Paralamas Do Sucesso,Arquivo II,Latin,2.97,11.88,January
Hannah,Schneider,Germany,Berlin,State is Unknown,Steve,Johnson,720,Godsmack,Faceless,Metal,2.97,11.88,December
Enrique,Muñoz,Spain,Madrid,State is Unknown,Steve,Johnson,720,O Terço,Compositores,Rock,2.97,11.88,August
Leonie,Köhler,Germany,Stuttgart,State is Unknown,Steve,Johnson,720,Buddy Guy,The Best Of Buddy Guy - The Millenium Collection,Blues,2.97,11.88,August
Helena,Holý,Czech Republic,Prague,State is Unknown,Steve,Johnson,720,Battlestar Galactica,"Battlestar Galactica, Season 3",Science Fiction,1.99,25.86,November
Helena,Holý,Czech Republic,Prague,State is Unknown,Steve,Johnson,720,Battlestar Galactica,"Battlestar Galactica, Season 3",TV Shows,1.99,25.86,November
Helena,Holý,Czech Republic,Prague,State is Unknown,Steve,Johnson,720,Lost,"Lost, Season 2",Drama,1.99,25.86,November
Helena,Holý,Czech Republic,Prague,State is Unknown,Steve,Johnson,720,Lost,"Lost, Season 2",TV Shows,1.99,25.86,November
Richard,Cunningham,USA,Fort Worth,TX,Margaret,Park,775,Battlestar Galactica,"Battlestar Galactica, Season 3",Sci Fi & Fantasy,1.99,23.86,August
Richard,Cunningham,USA,Fort Worth,TX,Margaret,Park,775,Lost,"Lost, Season 1",TV Shows,1.99,23.86,August
Ladislav,Kovács,Hungary,Budapest,State is Unknown,Jane,Peacock,833,Battlestar Galactica (Classic),"Battlestar Galactica (Classic), Season 1",Sci Fi & Fantasy,1.99,21.86,Febuary
Ladislav,Kovács,Hungary,Budapest,State is Unknown,Jane,Peacock,833,Heroes,"Heroes, Season 1",Drama,1.99,21.86,Febuary
Ladislav,Kovács,Hungary,Budapest,State is Unknown,Jane,Peacock,833,Lost,"Lost, Season 3",Drama,1.99,21.86,Febuary
Ladislav,Kovács,Hungary,Budapest,State is Unknown,Jane,Peacock,833,The Office,"The Office, Season 3",Comedy,1.99,21.86,Febuary
